Year,Player,Voting - Rank,Voting - Age,Voting - Tm,Voting - First,Voting - Pts Won,Voting - Pts Max,Voting - Share,Voting - G,Voting - MP,Voting - PTS,Voting - TRB,Voting - AST,Voting - STL,Voting - BLK,Voting - FG%,Voting - 3P%,Voting - FT%,Voting - WS,Voting - WS/48
1968,Wilt Chamberlain,1,31,PHI,88.0,504.0,695,0.725,82,46.8,24.3,23.8,8.6,,,.595,,.380,20.4,.255
1968,Lenny Wilkens,2,30,STL,26.0,216.0,695,0.311,82,38.6,20.0,5.3,8.3,,,.438,,.768,10.1,.153
1968,Elgin Baylor,3,33,LAL,9.0,129.0,695,0.186,77,39.3,26.0,12.2,4.6,,,.443,,.786,8.0,.127
1968,Dave Bing,4,24,DET,9.0,127.0,695,0.183,79,40.6,27.1,4.7,6.4,,,.441,,.707,6.2,.093
1968,Oscar Robertson,5,29,CIN,7.0,112.0,695,0.161,65,42.5,29.2,6.0,9.7,,,.500,,.873,12.3,.214
1969,Wes Unseld,1,22,BAL,53.0,310.0,515,0.602,82,36.2,13.8,18.2,2.6,,,.476,,.605,10.8,.175
1969,Willis Reed,2,26,NYK,18.0,137.0,515,0.266,82,37.9,21.1,14.5,2.3,,,.521,,.747,14.7,.227
1969,Billy Cunningham,3,25,PHI,15.0,130.0,515,0.252,82,40.8,24.8,12.8,3.5,,,.426,,.737,9.0,.129
1969,Bill Russell,4,34,BOS,11.0,93.0,515,0.181,77,42.7,9.9,19.3,4.9,,,.433,,.526,10.9,.159
1969,Elgin Baylor,5,34,LAL,6.0,89.0,515,0.173,76,40.3,24.8,10.6,5.4,,,.447,,.743,8.5,.133
1970,Willis Reed,1,27,NYK,61.0,498.0,775,0.643,81,38.1,21.7,13.9,2.0,,,.507,,.756,14.6,.227
1970,Jerry West,2,31,LAL,51.0,457.0,775,0.590,74,42.0,31.2,4.6,7.5,,,.497,,.824,15.2,.234
1970,Kareem Abdul-Jabbar,3,22,MIL,30.0,335.0,775,0.432,82,43.1,28.8,14.5,4.1,,,.518,,.653,13.8,.187
1970,Walt Frazier,4,24,NYK,4.0,50.0,775,0.065,77,39.5,20.9,6.0,8.2,,,.518,,.748,15.0,.236
1970,Billy Cunningham,5T,26,PHI,2.0,27.0,775,0.035,81,39.4,26.1,13.6,4.3,,,.469,,.729,10.3,.155
1970,Connie Hawkins,5T,27,PHO,2.0,27.0,775,0.035,81,40.9,24.6,10.4,4.8,,,.490,,.779,10.2,.147
1970,Lou Hudson,7,25,ATL,2.0,23.0,775,0.030,80,38.6,25.4,4.7,3.5,,,.531,,.824,11.1,.172
1970,Bill Bridges,8T,30,ATL,1.0,12.0,775,0.015,82,39.9,14.8,14.4,4.2,,,.475,,.734,6.6,.097
1970,Wes Unseld,8T,23,BAL,0.0,12.0,775,0.015,82,39.4,16.2,16.7,3.5,,,.518,,.638,11.1,.164
1970,John Havlicek,10,29,BOS,1.0,9.0,775,0.012,81,41.6,24.2,7.8,6.8,,,.464,,.844,10.6,.151
1970,Nate Thurmond,11,28,SFW,1.0,5.0,775,0.006,43,44.6,21.9,17.7,3.5,,,.414,,.754,3.7,.093
